"更新時間","県関係者陽性者数","入院中","重症","中等症","入院調整中","宿泊施設療養中","自宅療養中","入院勧告解除","解除後再入院","退院","死亡退院","","","","","","","","","","","","",""
"2020/08/20 23:17","1804","360","16","111","140","69","191","1031","4","1027","17","","","","","","","","","","","","",""
"2020/08/21 23:18","1834","354","16","116","83","69","175","1139","4","1135","18","","","","","","","","","","","","",""
"2020/08/22 23:17","1864","318","15","119","81","71","146","1234","4","1230","18","","","","","","","","","","","","",""
"2020/08/23 23:20","1889","336","32","89","45","59","154","1280","4","1276","19","","","","","","","","","","","","",""
"2020/08/24 17:21","1889","336","32","89","45","59","154","1280","4","1276","19","","","","","","","","","","","","",""
"2020/08/25 23:22","1943","281","29","87","41","48","121","1432","4","1428","24","","","","","","","","","","","","",""
"2020/08/26 23:24","1977","293","27","92","42","46","85","1490","4","1486","25","","","","","","","","","","","","",""
"2020/08/27 23:21","2013","266","30","89","47","43","71","1564","4","1560","26","","","","","","","","","","","","",""
"2020/08/28 23:25","2056","268","32","86","55","39","67","1605","4","1601","26","","","","","","","","","","","","",""
"2020/08/29 17:10","2084","275","26","83","55","36","75","1621","4","1617","26","","","","","","","","","","","","",""
"2020/08/30 23:11","2117","276","24","82","60","43","67","1648","4","1644","27","","","","","","","","","","","","",""
"2020/08/31 23:13","2139","258","24","86","45","52","75","1685","4","1681","28","","","","","","","","","","","","",""
"2020/09/01 23:22","2139","258","24","86","45","52","75","1685","4","1681","28","","","","","","","","","","","","",""
"2020/09/02 23:47","2152","256","20","98","29","52","61","1729","4","1725","29","","","","","","","","","","","","",""
"2020/09/03 23:23","2172","259","25","83","29","41","42","1774","4","1770","31","","","","","","","","","","","","",""
"2020/09/04 23:23","2200","239","22","74","41","35","39","1819","4","1815","31","","","","","","","","","","","","",""
"2020/09/05 23:43","2220","243","20","77","29","38","35","1847","4","1843","32","","","","","","","","","","","","",""
"2020/09/06 23:25","2220","243","20","77","29","38","35","1847","4","1843","32","","","","","","","","","","","","",""
"2020/09/07 23:24","2229","241","20","78","23","21","26","1886","4","1882","36","","","","","","","","","","","","",""
"2020/09/08 23:24","2238","230","19","74","23","18","27","1906","4","1902","38","","","","","","","","","","","","",""
"2020/09/09 23:24","2244","188","20","68","16","18","18","1967","4","1963","41","","","","","","","","","","","","",""
"2020/09/10 23:23","2259","188","26","63","16","15","18","1985","4","1981","41","","","","","","","","","","","","",""
"2020/09/11 17:27","2259","188","26","63","16","15","18","1985","4","1981","41","","","","","","","","","","","","",""
"2020/09/12 19:24","2280","170","24","45","10","12","24","2023","4","2019","45","","","","","","","","","","","","",""
"2020/09/13 17:26","2290","161","23","49","7","15","18","2048","4","2044","45","","","","","","","","","","","","",""
"2020/09/14 17:10","2294","165","23","42","4","14","15","2055","4","2051","45","","","","","","","","","","","","",""
"2020/09/15 18:27","2297","153","24","39","3","14","12","2074","4","2070","45","","","","","","","","","","","","",""
"2020/09/16 17:37","2305","145","22","36","6","12","7","2094","4","2090","45","","","","","","","","","","","","",""
"2020/09/17 19:24","2310","126","20","37","6","12","10","2115","4","2111","45","","","","","","","","","","","","",""
"2020/09/18 19:22","2322","117","21","33","10","9","6","2139","4","2135","45","","","","","","","","","","","","",""
"2020/09/19 19:22","2338","110","19","32","11","8","8","2160","4","2156","45","","","","","","","","","","","","",""
"2020/09/20 19:23","2352","112","19","21","11","16","7","2165","4","2161","45","","","","","","","","","","","","",""
"2020/09/21 19:39","2358","116","18","26","8","14","7","2172","4","2168","45","","","","","","","","","","","","",""
"2020/09/22 17:25","2364","119","18","28","7","16","8","2173","4","2169","45","","","","","","","","","","","","",""
"2020/09/23 19:23","2376","119","17","36","12","17","9","2178","4","2174","45","","","","","","","","","","","","",""
"2020/09/24 18:22","2382","108","18","32","6","15","8","2204","4","2200","45","","","","","","","","","","","","",""
"2020/09/25 19:23","2389","108","16","36","5","14","8","2213","4","2209","45","","","","","","","","","","","","",""
"2020/09/26 17:23","2407","108","18","33","14","18","9","2216","4","2212","46","","","","","","","","","","","","",""
"2020/09/27 20:18","2427","107","17","32","17","17","12","2232","4","2228","46","","","","","","","","","","","","",""
"2020/09/28 15:46","2441","116","19","36","15","17","15","2236","4","2232","46","","","","","","","","","","","","",""
"2020/09/29 20:26","2460","121","19","41","13","18","18","2248","4","2244","46","","","","","","","","","","","","",""
"2020/09/30 16:24","2486","131","24","39","22","20","20","2251","4","2247","46","","","","","","","","","","","","",""
"2020/10/01 20:07","2516","137","28","41","29","20","18","2270","4","2266","46","","","","","","","","","","","","",""
"2020/10/02 18:23","2541","143","27","41","28","26","29","2273","4","2269","46","","","","","","","","","","","","",""
"2020/10/03 18:23","2569","130","25","43","26","33","30","2307","4","2303","47","","","","","","","","","","","","",""
"2020/10/04 16:24","2588","137","27","45","19","45","27","2317","4","2313","47","","","","","","","","","","","","",""
"2020/10/05 19:25","2607","145","26","47","21","51","28","2319","4","2315","47","","","","","","","","","","","","",""
"2020/10/06 17:27","2629","149","26","49","11","57","25","2344","4","2340","47","","","","","","","","","","","","",""
"2020/10/07 23:16","2656","151","28","53","23","60","22","2357","4","2353","47","","","","","","","","","","","","",""
"2020/10/08 20:03","2682","155","29","52","28","64","26","2366","4","2362","47","","","","","","","","","","","","",""
"2020/10/09 18:28","2710","165","30","51","19","64","27","2391","4","2387","48","","","","","","","","","","","","",""
"2020/10/10 22:23","2729","168","27","48","17","56","27","2417","4","2413","48","","","","","","","","","","","","",""
"2020/10/11 22:47","2740","177","26","51","9","50","24","2436","4","2432","48","","","","","","","","","","","","",""
"2020/10/12 22:30","2754","183","27","53","10","41","27","2448","4","2444","49","","","","","","","","","","","","",""
"2020/10/13 18:27","2769","159","28","49","10","44","24","2487","4","2483","49","","","","","","","","","","","","",""
"2020/10/14 18:05","2787","157","25","46","15","40","28","2500","4","2496","51","","","","","","","","","","","","",""
"2020/10/15 18:38","2826","158","24","47","26","43","33","2519","4","2515","51","","","","","","","","","","","","",""
"2020/10/16 21:44","2855","149","24","51","36","44","29","2547","4","2543","54","","","","","","","","","","","","",""
"2020/10/17 16:28","2889","161","22","62","26","40","25","2587","4","2583","54","","","","","","","","","","","","",""
"2020/10/18 19:28","2918","166","22","62","33","48","27","2593","4","2589","55","","","","","","","","","","","","",""
"2020/10/19 18:27","2954","182","22","62","30","57","26","2608","4","2604","55","","","","","","","","","","","","",""
"2020/10/20 18:20","2975","189","22","64","22","60","25","2628","4","2624","55","","","","","","","","","","","","",""
"2020/10/22 21:48","3048","164","22","65","40","69","24","2698","4","2694","57","","","","","","","","","","","","",""
"2020/10/23 19:28","3094","174","21","70","49","72","23","2722","4","2718","58","","","","","","","","","","","","",""
"2020/10/24 19:46","3134","186","23","67","49","77","30","2738","4","2734","58","","","","","","","","","","","","",""
"2020/10/25 18:15","3165","192","23","60","47","75","29","2768","4","2764","58","","","","","","","","","","","","",""
"2020/10/26 20:06","3194","198","21","59","32","99","27","2784","4","2780","58","","","","","","","","","","","","",""
"2020/10/27 19:47","3217","199","25","63","26","86","22","2830","4","2826","58","","","","","","","","","","","","",""
"2020/10/28 19:16","3245","203","24","74","32","84","26","2846","4","2842","58","","","","","","","","","","","","",""
"2020/10/29 18:49","3277","197","24","71","36","88","22","2878","4","2874","60","","","","","","","","","","","","",""
"2020/10/30 21:19","3304","197","22","68","36","89","20","2906","5","2901","61","","","","","","","","","","","","",""
"2020/10/31 18:20","3336","194","23","64","26","88","36","2934","5","2929","63","","","","","","","","","","","","",""
"2020/11/01 17:33","3363","194","25","73","30","74","43","2964","5","2959","63","","","","","","","","","","","","",""
"2020/11/02 17:33","3373","181","25","75","23","59","48","3004","5","2999","63","","","","","","","","","","","","",""
"2020/11/03 16:23","3392","184","19","68","21","59","44","3026","5","3021","63","","","","","","","","","","","","",""
"2020/11/04 16:25","3408","184","19","71","18","51","44","3053","5","3048","63","","","","","","","","","","","","",""
"2020/11/05 18:22","3435","169","17","60","22","57","46","3082","5","3077","64","","","","","","","","","","","","",""
"2020/11/06 16:25","3456","167","16","50","20","51","44","3115","5","3110","64","","","","","","","","","","","","",""
"2020/11/07 17:26","3488","159","17","51","28","51","39","3152","5","3147","64","","","","","","","","","","","","",""
"2020/11/08 17:26","3418","161","18","53","25","58","40","3174","5","3169","65","","","","","","","","","","","","",""
"2020/11/09 17:30","3536","159","17","55","19","60","38","3200","5","3195","65","","","","","","","","","","","","",""
"2020/11/10 17:38","3561","147","15","59","22","59","36","3237","5","3232","65","","","","","","","","","","","","",""
"2020/11/11 19:24","3597","150","14","54","40","58","35","3254","5","3249","65","","","","","","","","","","","","",""
"2020/11/12 19:25","3620","150","15","54","29","63","36","3281","5","3276","66","","","","","","","","","","","","",""
"2020/11/13 17:25","3669","153","13","56","41","67","39","3308","5","3303","66","","","","","","","","","","","","",""
"2020/11/14 18:01","3696","132","14","53","23","76","57","3347","5","3342","66","","","","","","","","","","","","",""
"2020/11/16 19:26","3768","140","15","52","42","79","47","3399","5","3394","66","","","","","","","","","","","","",""
