全国地方公共団体コード,都道府県名,市区町村名,公表_年月日,日別陽性者数,7日間合計陽性者数,7日間平均陽性者数,日別判明者数,日別不明者数,7日間平均不明者数,7日間平均不明者増加比
130001,東京都,,2020-01-20,0,,,,,,
130001,東京都,,2020-01-21,0,,,,,,
130001,東京都,,2020-01-22,0,,,,,,
130001,東京都,,2020-01-23,0,,,,,,
130001,東京都,,2020-01-24,1,,,,,,
130001,東京都,,2020-01-25,1,,,,,,
130001,東京都,,2020-01-26,0,2,0.3,,,,
130001,東京都,,2020-01-27,0,2,0.3,,,,
130001,東京都,,2020-01-28,0,2,0.3,,,,
130001,東京都,,2020-01-29,0,2,0.3,,,,
130001,東京都,,2020-01-30,1,3,0.4,,,,
130001,東京都,,2020-01-31,0,2,0.3,,,,
130001,東京都,,2020-02-01,0,1,0.1,,,,
130001,東京都,,2020-02-02,0,1,0.1,,,,
130001,東京都,,2020-02-03,0,1,0.1,,,,
130001,東京都,,2020-02-04,0,1,0.1,,,,
130001,東京都,,2020-02-05,0,1,0.1,,,,
130001,東京都,,2020-02-06,0,0,0,,,,
130001,東京都,,2020-02-07,0,0,0,,,,
130001,東京都,,2020-02-08,0,0,0,,,,
130001,東京都,,2020-02-09,0,0,0,,,,
130001,東京都,,2020-02-10,0,0,0,,,,
130001,東京都,,2020-02-11,0,0,0,,,,
130001,東京都,,2020-02-12,0,0,0,,,,
130001,東京都,,2020-02-13,1,1,0.1,,,,
130001,東京都,,2020-02-14,2,3,0.4,,,,
130001,東京都,,2020-02-15,8,11,1.6,,,,
130001,東京都,,2020-02-16,5,16,2.3,,,,
130001,東京都,,2020-02-17,0,16,2.3,,,,
130001,東京都,,2020-02-18,3,19,2.7,,,,
130001,東京都,,2020-02-19,3,22,3.1,,,,
130001,東京都,,2020-02-20,0,21,3,,,,
130001,東京都,,2020-02-21,3,22,3.1,,,,
130001,東京都,,2020-02-22,1,15,2.1,,,,
130001,東京都,,2020-02-23,0,10,1.4,,,,
130001,東京都,,2020-02-24,3,13,1.9,,,,
130001,東京都,,2020-02-25,0,10,1.4,,,,
130001,東京都,,2020-02-26,3,10,1.4,,,,
130001,東京都,,2020-02-27,1,11,1.6,,,,
130001,東京都,,2020-02-28,0,8,1.1,,,,
130001,東京都,,2020-02-29,1,8,1.1,,,,
130001,東京都,,2020-03-01,2,10,1.4,,,,
130001,東京都,,2020-03-02,0,7,1,,,,
130001,東京都,,2020-03-03,1,8,1.1,,,,
130001,東京都,,2020-03-04,4,9,1.3,,,,
130001,東京都,,2020-03-05,8,16,2.3,,,,
130001,東京都,,2020-03-06,6,22,3.1,,,,
130001,東京都,,2020-03-07,6,27,3.9,,,,
130001,東京都,,2020-03-08,0,25,3.6,,,,
130001,東京都,,2020-03-09,0,25,3.6,,,,
130001,東京都,,2020-03-10,3,27,3.9,,,,
130001,東京都,,2020-03-11,6,29,4.1,,,,
130001,東京都,,2020-03-12,2,23,3.3,,,,
130001,東京都,,2020-03-13,2,19,2.7,,,,
130001,東京都,,2020-03-14,10,23,3.3,,,,
130001,東京都,,2020-03-15,3,26,3.7,,,,
130001,東京都,,2020-03-16,0,26,3.7,,,,
130001,東京都,,2020-03-17,12,35,5,,,,
130001,東京都,,2020-03-18,9,38,5.4,,,,
130001,東京都,,2020-03-19,7,43,6.1,,,,
130001,東京都,,2020-03-20,11,52,7.4,,,,
130001,東京都,,2020-03-21,7,49,7,,,,
130001,東京都,,2020-03-22,3,49,7,,,,
130001,東京都,,2020-03-23,16,65,9.3,,,,
130001,東京都,,2020-03-24,18,71,10.1,,,,
130001,東京都,,2020-03-25,41,103,14.7,,,,
130001,東京都,,2020-03-26,46,142,20.3,,,,
130001,東京都,,2020-03-27,40,171,24.4,22,18,,
130001,東京都,,2020-03-28,64,228,32.6,37,27,,
130001,東京都,,2020-03-29,72,297,42.4,36,36,,
130001,東京都,,2020-03-30,12,293,41.9,3,9,,
130001,東京都,,2020-03-31,78,353,50.4,28,50,,
130001,東京都,,2020-04-01,67,379,54.1,23,44,,
130001,東京都,,2020-04-02,98,431,61.6,63,35,31.3,
130001,東京都,,2020-04-03,92,483,69,31,61,37.4,
130001,東京都,,2020-04-04,118,537,76.7,36,82,45.3,
130001,東京都,,2020-04-05,141,606,86.6,45,96,53.9,
130001,東京都,,2020-04-06,85,679,97,9,76,63.4,
130001,東京都,,2020-04-07,87,688,98.3,23,64,65.4,
130001,東京都,,2020-04-08,156,777,111,46,110,74.9,
130001,東京都,,2020-04-09,183,862,123.1,55,128,88.1,2.817
130001,東京都,,2020-04-10,199,969,138.4,38,161,102.4,2.737
130001,東京都,,2020-04-11,198,1049,149.9,42,156,113,2.495
130001,東京都,,2020-04-12,174,1082,154.6,103,71,109.4,2.032
130001,東京都,,2020-04-13,100,1097,156.7,15,85,110.7,1.745
130001,東京都,,2020-04-14,159,1169,167,52,107,116.9,1.786
130001,東京都,,2020-04-15,127,1140,162.9,44,83,113,1.51
130001,東京都,,2020-04-16,151,1108,158.3,46,105,109.7,1.245
130001,東京都,,2020-04-17,206,1115,159.3,68,138,106.4,1.039
130001,東京都,,2020-04-18,186,1103,157.6,56,130,102.7,0.909
130001,東京都,,2020-04-19,109,1038,148.3,42,67,102.1,0.933
130001,東京都,,2020-04-20,101,1039,148.4,24,77,101,0.912
130001,東京都,,2020-04-21,123,1003,143.3,42,81,97.3,0.833
130001,東京都,,2020-04-22,123,999,142.7,49,74,96,0.85
130001,東京都,,2020-04-23,134,982,140.3,49,85,93.1,0.849
130001,東京都,,2020-04-24,170,946,135.1,89,81,85,0.799
130001,東京都,,2020-04-25,119,879,125.6,51,68,76.1,0.741
130001,東京都,,2020-04-26,82,852,121.7,26,56,74.6,0.73
130001,東京都,,2020-04-27,41,792,113.1,24,17,66,0.653
130001,東京都,,2020-04-28,113,782,111.7,70,43,60.6,0.623
130001,東京都,,2020-04-29,47,706,100.9,17,30,54.3,0.565
